iter	RMSE
0	0.1391104369
1	0.1364008374
2	0.1337962756
3	0.1313063232
4	0.1287775579
5	0.1263111584
6	0.1238765162
7	0.1215404757
8	0.1191975071
9	0.1169123147
10	0.1146759
11	0.1124735003
12	0.110315548
13	0.1082133638
14	0.1061534442
15	0.1041363545
16	0.1021524711
17	0.1001951775
18	0.0982780143
19	0.09640290237
20	0.09454007441
21	0.09274043025
22	0.09093701217
23	0.08920939463
24	0.08753508232
25	0.08589283621
26	0.08425611874
27	0.08265452517
28	0.08106684544
29	0.07955164085
30	0.07802436984
31	0.07655286356
32	0.07508535715
33	0.07367661846
34	0.07228378857
35	0.07089002048
36	0.06952586444
37	0.06818760076
38	0.06688043633
39	0.06561888149
40	0.06439268149
41	0.06317474848
42	0.06198270445
43	0.06080243134
44	0.05965871445
45	0.05854217792
46	0.0574400281
47	0.05635474497
48	0.05528596033
49	0.05422785148
50	0.05321329141
51	0.05220342024
52	0.0512287957
53	0.05024918017
54	0.04931939387
55	0.04837695636
56	0.04748039423
57	0.0465950617
58	0.04571331049
59	0.04486989968
60	0.04402208696
61	0.04320937136
62	0.04242635874
63	0.04162718685
64	0.04083484951
65	0.04007109872
66	0.03930728863
67	0.03857039809
68	0.03783809968
69	0.03713859999
70	0.03644572986
71	0.03577724914
72	0.03510319203
73	0.03444721821
74	0.03380895793
75	0.03318202189
76	0.03255732281
77	0.03194272677
78	0.03134294331
79	0.03076868486
80	0.03019145115
81	0.02963345718
82	0.02909407137
83	0.02856222571
84	0.02804178947
85	0.02752181615
86	0.02701347074
87	0.02651593763
88	0.02602960536
89	0.02555218932
90	0.02509010509
91	0.02462929405
92	0.02418133607
93	0.02374173408
94	0.02331445324
95	0.02290073554
96	0.02248384401
97	0.02208708668
98	0.02168838968
99	0.02131735677
100	0.02093365304
101	0.02056450548
102	0.02020504254
103	0.0198489768
104	0.0195032105
105	0.01916000096
106	0.01881593794
107	0.01848554944
108	0.01816420848
109	0.01784880799
110	0.01753899694
111	0.01723017497
112	0.0169313035
113	0.01663264363
114	0.01634291679
115	0.01606359628
116	0.01578474275
117	0.01551806997
118	0.0152602416
119	0.01500228836
120	0.01475202733
121	0.0145114172
122	0.01427355305
123	0.01404060092
124	0.01381350589
125	0.01359128905
126	0.01337335985
127	0.01315998911
128	0.01294742413
129	0.01274175084
130	0.01254444176
131	0.0123455878
132	0.0121489889
133	0.01196005977
134	0.01177293962
135	0.01158736442
136	0.0114107929
137	0.01124130033
138	0.01107029514
139	0.01090142581
140	0.01073621182
141	0.01057600768
142	0.01042246075
143	0.0102722003
144	0.01012493441
145	0.009977693635
146	0.009832004917
147	0.009693115929
148	0.009556999693
149	0.009424228561
150	0.00929448177
151	0.009173259319
152	0.00904959855
153	0.008932221597
154	0.008815373729
155	0.008701236537
156	0.008590454579
157	0.008482597601
158	0.008376293926
159	0.00827319484
160	0.008170570345
161	0.008074175746
162	0.007976873648
163	0.007881183377
164	0.007789157108
165	0.00770171965
166	0.007616334131
167	0.00752674543
168	0.007443696083
169	0.007366326631
170	0.007286632451
171	0.007212026502
172	0.007136705836
173	0.007059643044
174	0.006990092733
175	0.006919389218
176	0.006852598713
177	0.006786465847
178	0.006724018216
179	0.006660199618
180	0.006595757448
181	0.006535817699
182	0.006472918215
183	0.006412994439
184	0.006359175824
185	0.006304235362
186	0.006250510284
187	0.00619860244
188	0.006149322882
189	0.006101515545
190	0.006050996409
191	0.00600400145
192	0.005959601203
193	0.005916996555
194	0.005873714767
195	0.005829011278
196	0.005783563803
197	0.005740077016
198	0.005700515761
199	0.005660255795
200	0.005624519947
201	0.005586167652
202	0.005550207841
203	0.005514040177
204	0.005478283408
205	0.005444788884
206	0.005412543565
207	0.005381095971
208	0.005351534815
209	0.005320954454
210	0.00529146574
211	0.005257004563
212	0.005228267257
213	0.005202735542
214	0.005178383964
215	0.005155072378
216	0.005131872175
217	0.005107212108
218	0.005079509048
219	0.005056104664
220	0.00503574932
221	0.005009720072
222	0.004984439959
223	0.004960359691
224	0.004936074357
225	0.004917279797
226	0.004897036723
227	0.004872330839
228	0.00485390429
229	0.004834863153
230	0.004817415884
231	0.004796313897
232	0.004779449003
233	0.004763508372
234	0.004742328541
235	0.004721525262
236	0.004707597697
237	0.004687748932
238	0.004668872737
239	0.004653706644
240	0.004639859236
241	0.004625336199
242	0.004611627388
243	0.004600871363
244	0.004587328251
245	0.004569664595
246	0.004558173511
247	0.004543294412
248	0.004526503999
249	0.004514551733
250	0.004503728891
251	0.004493397638
252	0.004482582966
253	0.004466003771
254	0.004455749808
255	0.004446537314
256	0.004433837188
257	0.004419159247
258	0.00441050475
259	0.004395853189
260	0.004386423239
261	0.004373472644
262	0.004360249872
263	0.004348300975
264	0.00433951297
265	0.004329101908
266	0.004321000254
267	0.004312553825
268	0.004299165918
269	0.004288092208
270	0.004275052624
271	0.004264279958
272	0.004248394052
273	0.004237032981
274	0.004230360294
275	0.004223576729
276	0.004212088032
277	0.004202700175
278	0.004191849176
279	0.004185449009
280	0.004178095705
281	0.004171317295
282	0.004162717933
283	0.004153732057
284	0.004147509087
285	0.004139728384
286	0.004128811161
287	0.004120404064
288	0.004110699531
